# GENERATED by ./gradlew generateBedrockConstants. Do not edit.
#
# Where a picture Bedrock keeps at one path belongs in Java. Java ITEMS only: a
# block's icon is drawn from its model rather than from a sprite, so replacing
# item/<name>.png for one would change a picture nothing reads.
#
# Resolved either through the key's language entry, or - for the thirty keys that
# hold a whole family, where every common tool and weapon lives - by checking the
# file name against Java's own item paths and taking only an exact hit.
textures/entity/shield	item/shield
textures/items/acacia_chest_boat	item/acacia_chest_boat
textures/items/amethyst_shard	item/amethyst_shard
textures/items/angler_pottery_sherd	item/angler_pottery_sherd
textures/items/apple	item/apple
textures/items/archer_pottery_sherd	item/archer_pottery_sherd
textures/items/armadillo_scute	item/armadillo_scute
textures/items/armor_stand	item/armor_stand
textures/items/arms_up_pottery_sherd	item/arms_up_pottery_sherd
textures/items/arrow	item/arrow
textures/items/bamboo_chest_raft	item/bamboo_chest_raft
textures/items/bamboo_raft	item/bamboo_raft
textures/items/beetroot	item/beetroot
textures/items/beetroot_soup	item/beetroot_soup
textures/items/birch_chest_boat	item/birch_chest_boat
textures/items/blade_pottery_sherd	item/blade_pottery_sherd
textures/items/blaze_powder	item/blaze_powder
textures/items/blaze_rod	item/blaze_rod
textures/items/blue_egg	item/blue_egg
textures/items/bolt_armor_trim_smithing_template	item/bolt_armor_trim_smithing_template
textures/items/bone	item/bone
textures/items/bordure_indented_banner_pattern	item/bordure_indented_banner_pattern
textures/items/bowl	item/bowl
textures/items/bread	item/bread
textures/items/breeze_rod	item/breeze_rod
textures/items/brewer_pottery_sherd	item/brewer_pottery_sherd
textures/items/brewing_stand	item/brewing_stand
textures/items/brick	item/brick
textures/items/brown_egg	item/brown_egg
textures/items/brush	item/brush
textures/items/bundle	item/bundle
textures/items/burn_pottery_sherd	item/burn_pottery_sherd
textures/items/carrot	item/carrot
textures/items/carrot_on_a_stick	item/carrot_on_a_stick
textures/items/cauldron	item/cauldron
textures/items/chainmail_boots	item/chainmail_boots
textures/items/chainmail_chestplate	item/chainmail_chestplate
textures/items/chainmail_helmet	item/chainmail_helmet
textures/items/chainmail_leggings	item/chainmail_leggings
textures/items/charcoal	item/charcoal
textures/items/cherry_boat	item/cherry_boat
textures/items/cherry_chest_boat	item/cherry_chest_boat
textures/items/chorus_fruit	item/chorus_fruit
textures/items/chorus_fruit_popped	item/popped_chorus_fruit
textures/items/clay_ball	item/clay_ball
textures/items/coal	item/coal
textures/items/coast_armor_trim_smithing_template	item/coast_armor_trim_smithing_template
textures/items/cookie	item/cookie
textures/items/copper_axe	item/copper_axe
textures/items/copper_boots	item/copper_boots
textures/items/copper_chestplate	item/copper_chestplate
textures/items/copper_helmet	item/copper_helmet
textures/items/copper_hoe	item/copper_hoe
textures/items/copper_horse_armor	item/copper_horse_armor
textures/items/copper_ingot	item/copper_ingot
textures/items/copper_leggings	item/copper_leggings
