# GENERATED by ./gradlew generateBedrockConstants. Do not edit.
#
# Bedrock's internal short name for a vanilla item, and Java's translation key for it.
# The whole key, because a block's item form is `block.minecraft.` in Java and
# everything else `item.minecraft.`, and that is not derivable from the path.
# Joined on the English display name and kept only where that name is unique in BOTH
# games; a hand-written answer in spec/upstream/vanilla-names.manual.yaml overrides.
#
# No upstream content is reproduced here - an id beside an id is a fact about two
# games, not Mojang's data. Constitution rule 10, spec/upstream/fetch.md.
acaciaFence	block.minecraft.acacia_fence
acacia_button	block.minecraft.acacia_button
acacia_door	block.minecraft.acacia_door
acacia_fence_gate	block.minecraft.acacia_fence_gate
acacia_hanging_sign	block.minecraft.acacia_hanging_sign
acacia_pressure_plate	block.minecraft.acacia_pressure_plate
acacia_shelf	block.minecraft.acacia_shelf
acacia_stairs	block.minecraft.acacia_stairs
acacia_trapdoor	block.minecraft.acacia_trapdoor
acacia_wall_sign	block.minecraft.acacia_wall_sign
activator_rail	block.minecraft.activator_rail
air	block.minecraft.air
amethyst_block	block.minecraft.amethyst_block
amethyst_cluster	block.minecraft.amethyst_cluster
amethyst_shard	item.minecraft.amethyst_shard
ancient_debris	block.minecraft.ancient_debris
andesite_stairs	block.minecraft.andesite_stairs
angler_pottery_sherd	item.minecraft.angler_pottery_sherd
anvil.slightlyDamaged	block.minecraft.chipped_anvil
anvil.veryDamaged	block.minecraft.damaged_anvil
apple	item.minecraft.apple
appleEnchanted	item.minecraft.enchanted_golden_apple
archer_pottery_sherd	item.minecraft.archer_pottery_sherd
armadillo_scute	item.minecraft.armadillo_scute
armor_stand	item.minecraft.armor_stand
arms_up_pottery_sherd	item.minecraft.arms_up_pottery_sherd
arrow	item.minecraft.arrow
azalea	block.minecraft.azalea
azalea_leaves	block.minecraft.azalea_leaves
azalea_leaves_flowered	block.minecraft.flowering_azalea_leaves
baked_potato	item.minecraft.baked_potato
bamboo	block.minecraft.bamboo
bamboo_block	block.minecraft.bamboo_block
bamboo_button	block.minecraft.bamboo_button
bamboo_door	block.minecraft.bamboo_door
bamboo_fence	block.minecraft.bamboo_fence
bamboo_fence_gate	block.minecraft.bamboo_fence_gate
bamboo_hanging_sign	block.minecraft.bamboo_hanging_sign
bamboo_mosaic	block.minecraft.bamboo_mosaic
bamboo_mosaic_slab	block.minecraft.bamboo_mosaic_slab
bamboo_mosaic_stairs	block.minecraft.bamboo_mosaic_stairs
bamboo_planks	block.minecraft.bamboo_planks
bamboo_pressure_plate	block.minecraft.bamboo_pressure_plate
bamboo_shelf	block.minecraft.bamboo_shelf
bamboo_slab	block.minecraft.bamboo_slab
bamboo_stairs	block.minecraft.bamboo_stairs
bamboo_trapdoor	block.minecraft.bamboo_trapdoor
bamboo_wall_sign	block.minecraft.bamboo_wall_sign
banner.illager_captain	block.minecraft.ominous_banner
banner.white	block.minecraft.white_banner
barrel	block.minecraft.barrel
barrier	block.minecraft.barrier
basalt	block.minecraft.basalt
beacon	block.minecraft.beacon
bed.black	block.minecraft.black_bed
bed.blue	block.minecraft.blue_bed
bed.brown	block.minecraft.brown_bed
bed.cyan	block.minecraft.cyan_bed
bed.gray	block.minecraft.gray_bed
bed.green	block.minecraft.green_bed
bed.lightBlue	block.minecraft.light_blue_bed
bed.lime	block.minecraft.lime_bed
bed.magenta	block.minecraft.magenta_bed
bed.orange	block.minecraft.orange_bed
bed.pink	block.minecraft.pink_bed
bed.purple	block.minecraft.purple_bed
bed.red	block.minecraft.red_bed
bed.silver	block.minecraft.light_gray_bed
bed.white	block.minecraft.white_bed
bed.yellow	block.minecraft.yellow_bed
bedrock	block.minecraft.bedrock
bee_nest	block.minecraft.bee_nest
beef	item.minecraft.beef
beehive	block.minecraft.beehive
beetroot	item.minecraft.beetroot
beetroot_seeds	item.minecraft.beetroot_seeds
beetroot_soup	item.minecraft.beetroot_soup
bell	block.minecraft.bell
big_dripleaf	block.minecraft.big_dripleaf
birchFence	block.minecraft.birch_fence
birch_button	block.minecraft.birch_button
birch_door	block.minecraft.birch_door
birch_fence_gate	block.minecraft.birch_fence_gate
birch_hanging_sign	block.minecraft.birch_hanging_sign
birch_pressure_plate	block.minecraft.birch_pressure_plate
birch_shelf	block.minecraft.birch_shelf
birch_stairs	block.minecraft.birch_stairs
birch_trapdoor	block.minecraft.birch_trapdoor
birch_wall_sign	block.minecraft.birch_wall_sign
black_candle	block.minecraft.black_candle
black_candle_cake	block.minecraft.black_candle_cake
black_harness	item.minecraft.black_harness
blackstone	block.minecraft.blackstone
blackstone_slab	block.minecraft.blackstone_slab
blackstone_stairs	block.minecraft.blackstone_stairs
blackstone_wall	block.minecraft.blackstone_wall
blade_pottery_sherd	item.minecraft.blade_pottery_sherd
blast_furnace	block.minecraft.blast_furnace
blaze_powder	item.minecraft.blaze_powder
blaze_rod	item.minecraft.blaze_rod
blue_candle	block.minecraft.blue_candle
blue_candle_cake	block.minecraft.blue_candle_cake
blue_egg	item.minecraft.blue_egg
blue_harness	item.minecraft.blue_harness
blue_ice	block.minecraft.blue_ice
boat.acacia	item.minecraft.acacia_boat
boat.bamboo	item.minecraft.bamboo_raft
boat.big_oak	item.minecraft.dark_oak_boat
boat.birch	item.minecraft.birch_boat
boat.cherry	item.minecraft.cherry_boat
boat.jungle	item.minecraft.jungle_boat
boat.mangrove	item.minecraft.mangrove_boat
boat.oak	item.minecraft.oak_boat
boat.pale_oak	item.minecraft.pale_oak_boat
boat.spruce	item.minecraft.spruce_boat
bone	item.minecraft.bone
bone_block	block.minecraft.bone_block
book	item.minecraft.book
bookshelf	block.minecraft.bookshelf
bordure_indented_banner_pattern	item.minecraft.bordure_indented_banner_pattern
bow	item.minecraft.bow
bowl	item.minecraft.bowl
brain_coral_wall_fan	block.minecraft.brain_coral_wall_fan
bread	item.minecraft.bread
breeze_rod	item.minecraft.breeze_rod
brewer_pottery_sherd	item.minecraft.brewer_pottery_sherd
brick	item.minecraft.brick
brick_block	block.minecraft.bricks
brick_stairs	block.minecraft.brick_stairs
brown_candle	block.minecraft.brown_candle
brown_candle_cake	block.minecraft.brown_candle_cake
brown_egg	item.minecraft.brown_egg
brown_harness	item.minecraft.brown_harness
brown_mushroom	block.minecraft.brown_mushroom
brown_mushroom_block.cap	block.minecraft.brown_mushroom_block
brown_mushroom_block.stem	block.minecraft.mushroom_stem
brush	item.minecraft.brush
bubble_column	block.minecraft.bubble_column
bubble_coral_wall_fan	block.minecraft.bubble_coral_wall_fan
bucket	item.minecraft.bucket
bucketAxolotl	item.minecraft.axolotl_bucket
bucketFish	item.minecraft.cod_bucket
bucketLava	item.minecraft.lava_bucket
bucketPowderSnow	item.minecraft.powder_snow_bucket
bucketPuffer	item.minecraft.pufferfish_bucket
bucketSalmon	item.minecraft.salmon_bucket
bucketSulfurCube	item.minecraft.sulfur_cube_bucket
bucketTadpole	item.minecraft.tadpole_bucket
bucketTropical	item.minecraft.tropical_fish_bucket
bucketWater	item.minecraft.water_bucket
budding_amethyst	block.minecraft.budding_amethyst
burn_pottery_sherd	item.minecraft.burn_pottery_sherd
bush	block.minecraft.bush
cactus	block.minecraft.cactus
cactus_flower	block.minecraft.cactus_flower
cake	block.minecraft.cake
calcite	block.minecraft.calcite
calibrated_sculk_sensor	block.minecraft.calibrated_sculk_sensor
campfire	block.minecraft.campfire
candle	block.minecraft.candle
candle_cake	block.minecraft.candle_cake
carpet.black	block.minecraft.black_carpet
carpet.blue	block.minecraft.blue_carpet
carpet.brown	block.minecraft.brown_carpet
carpet.cyan	block.minecraft.cyan_carpet
carpet.gray	block.minecraft.gray_carpet
carpet.green	block.minecraft.green_carpet
carpet.lightBlue	block.minecraft.light_blue_carpet
carpet.lime	block.minecraft.lime_carpet
carpet.magenta	block.minecraft.magenta_carpet
carpet.orange	block.minecraft.orange_carpet
carpet.pink	block.minecraft.pink_carpet
carpet.purple	block.minecraft.purple_carpet
